##This file contains results for automated relation spotted by reading from NQS##

63	What are the nicknames of San Francisco?	[nicknames]
64	Which Greek goddesses dwelt on Mount Olympus?	[dwelt, Greek, goddesses]
65	When were the Hells Angels founded?	[Hells, founded, Angels]
66	Give me all Apollo 14 astronauts.	[]
67	What is the time zone of Salt Lake City?	[zone, time]
68	Which U.S. states are in the same time zone as Utah?	[U.S., states]
69	Give me the capitals of all countries in Africa.	[]
70	Give me a list of all lakes in Denmark.	[]
71	How many missions does the Soyuz programme have?	[missions]
72	Did Socrates influence Aristotle?	[epts], cepts], [Socrates, =]
73	Give me all Danish movies.	[]
74	Give me all launch pads operated by NASA.	[]
75	Which instruments does Cat Stevens play?	[instruments]
76	Which ships were called after Benjamin Franklin?	[ships, called, after]
77	Who are the parents of the wife of Juan Carlos I?	[parents]
78	How many employees does Google have?	[employees]
79	Did Tesla win a nobel prize in physics?	[epts], cepts], [Tesla, =]
80	Give me all cities in New Jersey with more than 100000 inhabitants.	[]
81	Is Rita Wilson the wife of Tom Hanks?	[epts], cepts], [Rita, wife, Wilson, =]
82	When was the Statue of Liberty built?	[Statue]
83	Where is Fort Knox located?	[Fort, Knox]
84	How many children did Benjamin Franklin have?	[children]
85	When did Michael Jackson die?	[die, Michael, Jackson]
86	Which Chess players died in the same place they were born in?	[Chess, players, died]
87	List the children of Margaret Thatcher.	[]
88	Who was called Frank The Tank?	[called, Frank]
89	Was Margaret Thatcher a chemist?	[epts], cepts], chemist], [Margaret, Thatcher, =]
90	Was Marc Chagall a jew?	[jew], epts], cepts], [Marc, Chagall, =]
91	Which museum exhibits The Scream by Munch?	[museum, exhibits]
92	Give me all books by William Goldman with more than 300 pages.	[]
93	Which books by Kerouac were published by Viking Press?	[books]
94	Give me a list of all American inventions.	[]
95	How high is the Mount Everest?	[high]
96	Who created Batman?	[created, Person]
97	How many people live in the capital of Australia?	[people, live]
98	What is the largest city in Australia?	[largest, city]
99	Who composed the music for Harold and Maude?	[music, composed]
100	Which films starring Clint Eastwood did he direct himself?	[films]
101	In which city was the former Dutch queen Juliana buried?	[city]
102	Is Egypts largest city also its capital?	[]
103	Where is the residence of the prime minister of Spain?	[residence]
104	Which U.S. state has the abbreviation MN?	[U.S., state]
105	Show me all songs from Bruce Springsteen released between 1980 and 1990.	[]
106	Which movies did Kurosawa direct?	[movies, direct]
107	What is the founding year of the brewery that produces Pilsner Urquell?	[founding]
108	Who wrote the lyrics for the Polish national anthem?	[wrote, lyrics]
109	Give me all B-sides of the Ramones.	[]
110	Who painted The Storm on the Sea of Galilee?	[Storm, painted]
111	Which country does the creator of Miffy come from?	[country]
112	For which label did Elvis record his first album?	[label]
113	Give me the birthdays of all actors of the television show Charmed.	[]
114	آی.بی.آم. چند کارمند دارد؟	[]
115	Which states border Illinois?	[border, states]
116	In which country is the Limerick Lake?	[country]
117	Which television shows were created by John Cleese?	[shows, television, created]
118	Which mountain is the highest after the Annapurna?	[mountain]
119	In which films directed by Garry Marshall was Julia Roberts starring?	[films, directed]
120	Which bridges are of the same type as the Manhattan Bridge?	[bridges]
121	Was U.S. president Jackson involved in a war?	[epts], cepts], [U.S., =, president]
122	Give me all communist countries.	[]
123	Which awards did Douglas Hofstadter win?	[awards, win]
124	Who is the daughter of Robert Kennedy married to?	[daughter]
125	Which U.S. state has the highest population density?	[U.S., state]
126	What is the currency of the Czech Republic?	[currency]
127	Which countries adopted the Euro?	[countries, adopted]
128	What is the area code of Berlin?	[area, code]
129	Which countries have more than two official languages?	[countries]
130	Who is the owner of Rolls-Royce?	[owner]
131	Through which countries does the Yenisei river flow?	[countries]
132	When did Latvia join the EU?	[Latvia, join]
133	Which politicians were married to a German?	[politicians, married]
134	When was the Battle of Gettysburg?	[Battle]
135	Which river does the Brooklyn Bridge cross?	[cross, river]
136	What is the highest mountain in Australia?	[mountain, highest]
137	Give me all soccer clubs in Spain.	[]
138	What is the official language of Suriname?	[official, language]
139	Who is the mayor of Tel Aviv?	[mayor]
140	Who designed the Brooklyn Bridge?	[Person, designed]
141	Which telecommunications organizations are located in Belgium?	[organizations, telecommunications]
142	Is Frank Herbert still alive?	[epts], cepts], Herbert, =, [Frank]
143	What is the highest place of the Urals?	[highest, place]
144	Who is the editor of Forbes?	[editor]
145	Give me all companies in the advertising industry.	[]
146	How many countries are there in Europe?	[countries]
147	What did Bruce Carver die from?	[Bruce, die, Carver]
148	Give me all libraries established earlier than 1400.	[]
149	Which presidents were born in 1945?	[born, presidents]
150	Give me all federal chancellors of Germany.	[]
151	Who was the wife of U.S. president Lincoln?	[wife]
152	Who developed the video game World of Warcraft?	[game, video, developed]
153	What is the official website of Tom Cruise?	[website, official]
154	List all episodes of the first season of the HBO television series The Sopranos.	[]
155	Who produced the most films?	[Person, produced]
156	Give me all people with first name Jimmy.	[]
157	In which city did John F. Kennedy die?	[die, city]
158	Is there a video game called Battle Chess?	[epts], game, cepts], [a, video, =]
159	Which mountains are higher than the Nanga Parbat?	[mountains]
160	Who created Wikipedia?	[created, Person]
161	Give me all actors starring in Last Action Hero.	[]
162	Which software has been developed by organizations founded in California?	[software, developed]
163	Which companies work in the aerospace industry as well as in medicine?	[companies, work]
164	Is Christian Bale starring in Velvet Goldmine?	[epts], [Christian, cepts], Bale, =]
165	Give me the websites of companies with more than 500000 employees.	[]
166	Which actors were born in Germany?	[actors, born]
167	Which caves have more than 3 entrances?	[caves]
168	Was the wife of president Lincoln called Mary?	[epts], cepts], wife, =, [the]
169	Give me all films produced by Hal Roach.	[]
170	Give me all video games published by Mean Hamster Software.	[]
171	Which languages are spoken in Estonia?	[languages, spoken]
172	How many Aldi stores are there?	[]
173	Which capitals in Europe were host cities of the summer olympic games?	[capitals]
174	Who was the 16th president of the United States?	[16th, president]
175	How many films did Hal Roach produce?	[films, produce]
176	Which music albums contain the song Last Christmas?	[albums, contain, music]
177	Give me all books written by Danielle Steel.	[]
178	Which airports are located in California, USA?	[airports]
179	Which states of Germany are governed by the Social Democratic Party?	[states]
180	Give me all Canadian Grunge record labels.	[]
181	Which country has the most official languages?	[country]
182	In which programming language is GIMP written?	[language, written, programming]
183	Who produced films starring Natalie Portman?	[films, produced]
184	Give me all movies with Tom Cruise.	[]
185	In which films did Julia Roberts as well as Richard Gere play?	[films]
186	Give me all female given names.	[]
187	Who wrote the book The Pillars of the Earth?	[book, wrote, Pillars]
188	How many films did Leonardo DiCaprio star in?	[films]
189	Give me all soccer clubs in the Premier League.	[]
190	In which U.S. state is Mount McKinley located?	[U.S., state]
191	When was Jack Wolfskin founded?	[Wolfskin, founded, Jack]
192	Which organizations were founded in 1930?	[organizations, founded]
193	What is the highest mountain?	[mountain, highest]
194	Was Natalie Portman born in the United States?	[Portman, epts], cepts], [Natalie, =]
195	Which budget did the first movie of Zdenek Sverak have?	[budget]
196	How many big fires struck Paris during the Middle Ages?	[big, fires, struck]
197	Is Pamela Anderson a vegan?	[epts], vegan], cepts], =, [Pamela, Anderson]
198	How often was Michael Jordan divorced?	[divorced]
199	What is the most beautiful painting?	[beautiful, painting]
200	Give me all animal species that live in the Amazon rainforest.	[]
201	How many inhabitants does the largest city in Canada have?	[inhabitants]
202	In which studio did the Beatles record their first album?	[studio]
203	Who was the first to climb Mount Everest?	[climb, first]
204	How many programming languages are there?	[]
205	What is the official color of the University of Oxford?	[color, official]
206	How many gold medals did Michael Phelps win at the 2008 Olympics?	[gold, medals]
207	To which artistic movement did the painter of The Three Dancers belong?	[artistic, movement]
208	Give me all animals that are extinct.	[]
209	Does Abraham Lincoln's death place have a website?	[[death, epts], cepts], place, =]
210	How deep is Lake Chiemsee?	[deep]
211	Give me the grandchildren of Elvis Presley.	[]
212	Who is the youngest Darts player?	[Person]
213	Where was Bach born?	[born, Bach]
214	In which countries can you pay using the West African CFA franc?	[pay, countries]
215	What are the top-10 action role-playing video games according to IGN?	[top-10, action, video, role-playing]
216	What is the most frequent cause of death?	[frequent, cause]
217	Does the Isar flow into a lake?	[epts], cepts], Isar, =, [the, flow]
218	Give me all films produced by Steven Spielberg with a budget of at least $80 million.	[]
219	Give me all writers that won the Nobel Prize in literature.	[]
220	Give me all taikonauts.	[]
221	How many pages does War and Peace have?	[pages]
222	What is the bridge with the longest span?	[with, bridge]
223	Give me all actors called Baldwin.	[]
224	Who is the tallest player of the Atlanta Falcons?	[tallest, player]
225	Which rivers flow into a German lake?	[rivers, into, flow]
226	How many James Bond movies are there?	[James, Bond]
227	Which rockets were launched from Baikonur?	[rockets, launched]
228	Which pope succeeded John Paul II?	[pope, succeeded]
229	Give me all Dutch parties.	[]
230	When is Halloween?	[Halloween]
231	Give me all Swedish oceanographers.	[]
232	Give me all actors who were born in Berlin.	[]
233	What was the last movie with Alec Guinness?	[with, last, movie]
234	Which poet wrote the most books?	[wrote, poet]
235	How many languages are spoken in Colombia?	[languages, spoken]
236	What does ICRO stand for?	[ICRO, stand]
237	What was Brazil's lowest rank in the FIFA World Ranking?	[rank, lowest]
238	Give me the capitals of all countries that the Himalayas run through.	[]
239	Which actor played Chewbacca?	[actor, played]
240	Which ingredients do I need for carrot cake?	[ingredients]
241	Is Cola a beverage?	[epts], cepts], beverage], =, [Cola]
242	Who has Tom Cruise been married to?	[been, married, Person]
243	Which of Tim Burton's films had the highest budget?	[films, highest, budget]
244	How heavy is Jupiter's lightest moon?	[heavy]
245	Which actor was casted in the most movies?	[actor, casted]
246	Is James Bond married?	[[James, epts], cepts], Bond], =]
247	Give me all Australian metalcore bands.	[]
248	Give me all actors who were born in Paris after 1950.	[]
249	When was Olof Palme shot?	[Olof, Palme, shot]
250	Who are the four youngest MVP basketball players?	[four, MVP, youngest]
251	Which companies have more than 1 million employees?	[companies]
252	Give all swimmers that were born in Moscow.	[born, Moscow]
253	Who was called Rodzilla?	[called, Person]
254	Show me the book that Muhammad Ali wrote.	[]
255	How many museums does Paris have?	[museums]
256	Which city has the most inhabitants?	[city]
257	Which city has the least inhabitants?	[city]
258	Give me all the TV shows with Neil Patrick Harris.	[]
259	Who wrote The Hunger Games?	[wrote, Person]
260	Show a list of soccer clubs that play in the Bundesliga.	[play, Bundesliga]
261	What country is Mount Everest in?	[country]
262	Who is the founder of Penguin Books?	[founder]
263	Which programming languages influenced Javascript?	[languages, influenced, programming]
264	Did Che Guevara have children?	[epts], cepts], Guevara, =, [Che]
265	List all the musicals with music by Leonard Bernstein.	[]
266	Show me all the breweries in Australia.	[]
267	When was the Titanic completed?	[completed, Titanic]
268	How much did Pulp Fiction cost?	[cost]
269	How many airlines are there?	[]
270	Who played Agent Smith in Matrix?	[Agent, Smith, played]
271	How much carbs does peanut butter have?	[carbs]
272	Which book has the most pages?	[book]
273	Which bridges cross the Seine?	[cross, bridges]
274	Who is the mayor of the capital of French Polynesia?	[mayor]
275	When did Dracula's creator die?	[creator]
276	What is the location of the Houses of Parliament?	[location]
277	Show me all English Gothic buildings in Kent.	[]
278	Who was the pope that founded the Vatican Television?	[Person]
279	What airlines are part of the SkyTeam alliance?	[airlines]
280	What is the total population of Melbourne, Florida?	[total, population]
281	Which airports does Yeti Airlines serve?	[serve, airports]
282	In which year was Rachel Stevens born?	[year, born]
283	Where was JFK assassinated?	[assassinated, JFK]
284	How many politicians graduated from Columbia University?	[graduated, politicians]
285	Which scientist is known for the Manhattan Project and the Nobel Peace Prize?	[known, scientist]
286	What is the highest volcano in Africa?	[highest, volcano]
287	Which beer originated in Ireland?	[beer, originated]
288	What are the specialities of the UNC Health Care?	[specialities]
289	Who is the owner of Facebook?	[owner]
290	From which region is the Melon de Bourgogne?	[region]
291	Who was influenced by Socrates?	[influenced, Person]
292	Who was president of Pakistan in 1978?	[president]
293	Give me English actors starring in Lovesick.	[]
294	Give me all types of eating disorders.	[]
295	Who was married to president Chirac?	[married, president]
296	What is the largest metropolitan area in Washington state?	[area, largest, metropolitan]
297	Where in France is sparkling wine produced?	[France]
298	Where did Hillel Slovak die?	[die, Slovak, Hillel]
299	What is the timezone in San Pedro de Atacama?	[timezone]
300	In which city does the Chile Route 68 end?	[city]
301	Give me all ESA astronauts.	[]
302	Give me all Swedish holidays.	[]
303	Who is the youngest Pulitzer Prize winner?	[Person]
304	Which animals are critically endangered?	[endangered, animals]
305	Which soccer players were born on Malta?	[soccer, players, born]
306	Did Arnold Schwarzenegger attend a university?	[epts], cepts], [Arnold, Schwarzenegger, =]
307	Which programming languages were influenced by Perl?	[languages, influenced, programming]
308	Is Barack Obama a democrat?	[epts], [Barack, cepts], democrat], Obama, =]
309	How many children does Eddie Murphy have?	[children]
310	Who is the oldest child of Meryl Streep?	[oldest, child]
311	Who killed John Lennon?	[Person, killed]
312	Which frequent flyer program has the most airlines?	[flyer, frequent, program]
313	In which city is Air China headquartered?	[headquartered, city]
314	Which artists were born on the same date as Rachel Stevens?	[artists, born]
315	How many scientists graduated from an Ivy League university?	[scientists, graduated]
316	Which types of grapes grow in Oregon?	[types]
317	Who is starring in Spanish movies produced by Benicio del Toro?	[starring]
318	Who is the manager of Real Madrid?	[manager]
319	Give me the currency of China.	[]
320	Which movies starring Mickey Rourke were directed by Guy Ritchie?	[movies]
321	Is Darth Vader Luke’s father?	[epts], cepts], [father, =]
322	How many companies were founded by the founder of Facebook?	[companies, founded]
323	How many companies were founded in the same year as Google?	[companies, founded]
324	Which subsidiary of TUI Travel serves both Glasgow and Dublin?	[subsidiary]
325	How many airlines are members of the Star Alliance?	[members, airlines]
326	Give me all spacecrafts that flew to Mars.	[]
327	Which musician wrote the most books?	[wrote, musician]
328	Show me everyone who was born on Halloween.	[]
329	Give me all Swiss non-profit organizations.	[]
330	In which country is Mecca located?	[country, located]
331	What is the net income of Apple?	[income, net]
332	What does the abbreviation FIFA stand for?	[stand, abbreviation]
333	When did the Ming dynasty dissolve?	[Ming, dynasty, dissolve]
334	Which museum in New York has the most visitors?	[museum]
335	Is Lake Baikal bigger than the Great Bear Lake?	[epts], cepts], Baikal, [Lake, =]
336	Desserts from which country contain fish?	[country, contain]
337	What is the highest mountain in Italy?	[mountain, highest]
338	Where did the architect of the Eiffel Tower study?	[architect]
339	Which Greek parties are pro-European?	[parties, Greek]
340	What is the height difference between Mount Everest and K2?	[difference, between, height]
341	Who is the mayor of Rotterdam?	[mayor]
342	In which city were the parents of Che Guevara born?	[city]
343	How high is the lighthouse in Colombo?	[high]
344	Are Taiko a kind of Japanese musical instruments?	[epts], cepts], [Taiko, =]
345	How many ethnic groups live in Slovenia?	[ethnic, groups, live]
346	List the seven kings of Rome.	[]
347	Who were the parents of Queen Victoria?	[parents]
348	Who is the heaviest player of the Chicago Bulls?	[heaviest, player]
349	Which volcanos in Japan erupted since 2000?	[volcanos]
